id,baseline_utility,health_probability
1,2.4375,0.994804
2,2.60417,0.995707
3,2.70833,0.996352
4,2.33333,0.994365
5,2.20833,0.994365
6,3.02083,0.996492
7,2.60417,0.994365
8,2.70833,0.994365
9,2.75,0.995707
10,2.97917,0.994365
11,2.77083,0.996125
12,2.78125,0.996492
13,2.8125,0.994804
14,2.27083,0.996125
15,2.39583,0.996125
16,2.0,0.996492
17,2.60417,0.996125
18,2.35417,0.994804
19,2.27083,0.996492
20,2.66667,0.994365
21,2.6875,0.994365
22,2.5625,0.994804
23,2.25,0.994365
24,2.89583,0.994804
25,2.79167,0.996125
26,2.60417,0.996492
27,2.10417,0.994804
28,2.52083,0.994804
29,2.72917,0.996125
30,2.39583,0.996125
31,2.54167,0.994804
32,3.29167,0.994365
33,2.54167,0.996125
34,3.02083,0.994804
35,2.27083,0.996492
36,3.125,0.994585
37,2.39583,0.994804
38,2.8125,0.996125
39,2.29167,0.996125
40,2.11458,0.994365
41,2.67708,0.994365
42,2.6875,0.994365
43,2.77083,0.996125
44,2.19792,0.994365
45,2.22917,0.994365
46,2.77083,0.994365
47,2.375,0.996492
48,2.25,0.996125
49,2.69792,0.994365
50,1.95833,0.996492
51,2.0625,0.994365
52,3.1875,0.994365
53,1.95833,0.996492
54,2.66667,0.994365
55,2.45833,0.996125
56,2.5625,0.996125
57,2.89583,0.994365
58,2.33333,0.996125
59,3.02083,0.996492
60,2.35417,0.994804
61,2.27083,0.994804
62,2.79167,0.994365
63,2.5625,0.994804
64,2.79167,0.994804
65,2.55208,0.994365
66,2.89583,0.994365
67,3.3125,0.994804
68,2.80208,0.996125
69,3.0,0.996492
70,3.52083,0.994804
71,2.83333,0.994804
72,3.375,0.994804
73,2.83333,0.994804
74,3.02083,0.996492
75,2.66667,0.996492
76,2.49306,0.996125
77,2.85417,0.994804
78,3.45833,0.996492
79,3.22917,0.996492
80,2.6875,0.996125
81,2.72917,0.996492
82,2.41667,0.994365
83,3.22917,0.994804
84,2.8125,0.994365
85,2.39583,0.994804
86,2.29167,0.994365
87,2.9375,0.996125
88,2.58333,0.996125
89,2.4375,0.994365
90,2.66667,0.996125
91,2.47917,0.994365
92,2.625,0.994365
93,2.52083,0.996125
94,3.29167,0.994804
95,2.58333,0.996125
96,2.89583,0.996492
97,2.5,0.996492
98,2.77083,0.996492
99,2.02083,0.994804
100,2.4375,0.994804
101,3.22917,0.996125
102,2.52083,0.994365
103,2.84375,0.994365
104,2.70833,0.996125
105,2.25,0.996125
106,3.125,0.996492
107,2.29167,0.994365
108,2.4375,0.994365
109,3.22917,0.996492
110,2.8125,0.994804
111,2.72917,0.994804
112,3.0625,0.996125
113,2.59375,0.994804
114,2.5625,0.996492
115,2.64583,0.994365
116,2.85417,0.996125
117,2.95833,0.994365
118,2.95833,0.994365
119,2.625,0.996125
120,2.8125,0.996492
121,2.85417,0.994804
122,2.5,0.996492
123,2.1875,0.994804
124,3.04167,0.994804
125,2.47917,0.994365
126,2.8125,0.994804
127,2.64583,0.994365
128,3.04167,0.994804
129,2.39583,0.996309
130,2.1875,0.994365
